userid,finalgrade,top_features,top_values
4754f039a51334c34d008a7095c57174276430bf0c4b934ec391a1a6fcdc5669,100.0,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Messages_Sent, Quiz_Viewed","6.248, 2.438, -1.976, -1.571, -1.480"
1054f0accc8d83247eb9d55e8307fce858a1a39ad4c176bf4a710208f977781d,66.6667,"Files_Downloaded, Quiz_Submitted, Meeting_Joined, Session_Start_Hour_STD, Files_Uploaded","-2.333, -2.242, -1.555, 1.537, -0.923"
03420bf0e0c6e8a6df9be3b5c0e322ca9d1bd79a646c4eb8e88f04defaa72420,94.44443,"Quiz_Submitted, Files_Uploaded, Quiz_Reviewed, Quiz_Started, Module_Views","5.335, -2.155, 1.785, -1.771, -1.521"
5c0bab45d58679a7527a48a2623fc31b2befd11c406f395ed807ea31a2075aa2,75.0,"Session_Start_Hour_STD, Quiz_Submitted, Module_Views, Session_Interval_CV, Files_Downloaded","3.745, 2.107, -1.916, 1.886, 1.635"
ce5311d8adba8eeff6433ab33f0a7787656a657c92659b714312313638755c78,45.0,"Session_Start_Hour_STD, Quiz_Submitted, Quiz_Reviewed, Quiz_Viewed, Assignments_Submitted","-9.402, -9.215, -7.195, 1.992, -1.516"
c2d92d482a4754d471695ed94fb5320b0f808e105ba3798c3a2bf649e5ae90ab,44.44445,"Quiz_Submitted, Quiz_Reviewed, Quiz_Viewed, Avg_Time_Per_Session, Files_Uploaded","-8.101, -7.554, -1.220, 1.204, -1.123"
c34291c9d9e271518336bd42c8cd9f65175f14773bda09bae3ed10af4188dda6,91.66667,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Files_Uploaded, Files_Downloaded","5.635, 2.290, -1.651, -1.526, 0.961"
6e3a9e9ac4a6e00f2cd3c4b4ea34d8edcba311522d6440c2790f0fa3354c22ca,66.6667,"Quiz_Submitted, Files_Uploaded, Files_Downloaded, Quiz_Reviewed, Meeting_Joined","-3.377, -1.029, 0.838, -0.680, -0.659"
3fc569feaa09de45140689bcff691e0a47e8a9690b748f7d8b92e418a2c6cc7c,83.80953,"Quiz_Submitted, Meeting_Joined, Quiz_Reviewed, Quiz_Started, Session_Start_Hour_STD","4.936, -3.938, 2.169, -1.734, -1.557"
3618358090b20c3a4793a03c76242da14dbf2c643b01560148348c4ef1d89cae,88.8889,"Quiz_Submitted, Quiz_Reviewed, Files_Uploaded, Quiz_Started, Meeting_Joined","5.206, 1.992, 1.902, -1.663, 0.901"
69536c57a51bd086d1240cc042b57fe829a9bda8740fddbfa0ead4e2511ce8d1,100.0,"Quiz_Submitted, Quiz_Reviewed, Files_Uploaded, Content_Views, Quiz_Started","4.665, 2.284, -2.055, -2.041, -1.657"
0d813761a4df592b8ac37c234871fc1684286e5fe8e030fc11a5a691cd8954c2,88.8889,"Files_Uploaded, Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Quiz_Viewed","4.423, 2.299, 2.151, -1.452, -0.651"
25b2b5aca82f16ebf09026464878035e68018c4bcde8963ca9645eb8547b329f,100.0,"Quiz_Submitted, Session_Interval_CV, Quiz_Reviewed, Quiz_Started, Files_Downloaded","5.443, -3.229, 1.993, -1.951, -1.646"
c2db6f8157f793702336f393172e6fc34038cd52d4ae238f89d41f780f588e70,91.61028,"Quiz_Submitted, Content_Views, Quiz_Reviewed, Files_Uploaded, Quiz_Started","6.903, -3.536, 2.576, -2.174, -2.008"
8010e7c213e5539fb6303b5e0d8c0466ed23a20594a7b67d20339b51b3444848,85.1852,"Quiz_Submitted, Meeting_Joined, Files_Downloaded, Session_Interval_CV, Quiz_Reviewed","-1.817, -1.275, 0.848, 0.823, -0.716"
820c1ef8e8290a5d1464b694c6c3d0d835e2b9a73f7daa286283aa772f5a0efc,100.0,"Quiz_Submitted, Meeting_Joined, Files_Downloaded, Quiz_Started, Quiz_Reviewed","5.055, -4.236, -3.029, -2.962, 2.078"
ae28eeaeee836703c70de3c8b4387b24187b4a2ae24184ae75a3d5f336f8962e,97.22223,"Quiz_Submitted, Quiz_Viewed, Quiz_Reviewed, Quiz_Started, Messages_Sent","5.007, 1.848, 1.674, -1.368, -1.358"
62ff4c27ee9038dcb930015a955546ce34762142e928825e1cd2cc0271e54b59,97.22223,"Quiz_Submitted, Files_Uploaded, Quiz_Reviewed, Quiz_Started, Quiz_Viewed","5.854, 2.276, 1.908, -1.728, 1.033"
7e248d094dafd944bf4511c9ad5cc51de07604573ede19931e90b464bf2b24cc,80.55557,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Quiz_Viewed, Files_Uploaded","6.758, 2.470, -1.800, 1.684, -1.379"
b768458991787d19f1ff912eb9008069e550bf015244567bf99366e18797843c,38.8889,"Quiz_Reviewed, Files_Uploaded, Quiz_Started, Session_Interval_CV, Messages_Sent","-3.669, -3.455, -2.634, -1.877, -1.623"
e3e485cd927653cb428c42269aae6e7b652a6e46d459308668f546e461e14f7a,77.7778,"Quiz_Started, Quiz_Submitted, Session_Start_Hour_STD, Quiz_Reviewed, Files_Uploaded","-5.381, -4.574, 1.812, -1.779, -1.396"
84ab0fa9418669400621cad453b1fc0bbe75d3404e0c8ba352830b717348ebbc,100.0,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Files_Uploaded, Meeting_Joined","5.155, 1.890, -1.648, 1.525, 0.819"
eca90c45a7bc71df941082c52943c925be906063b7e9dd64ef8a85126bae3444,61.1111,"Quiz_Reviewed, Quiz_Started, Module_Views, Avg_Time_Per_Session, Quiz_Submitted","2.087, -1.558, -1.353, -1.100, 1.099"
3afa0d98f272ba09a34c4c0494866589b12e2c9563c084068b4132503ff7d007,66.66667,"Quiz_Submitted, Files_Uploaded, Content_Views, Quiz_Started, Files_Downloaded","3.570, 3.404, -2.601, -1.492, 1.214"
cdafb574e0f4316eaa25627ded00b1a86f411b89fe795b6047feb3fa3b705f3a,62.95322,"Files_Downloaded, Files_Uploaded, Content_Views, Quiz_Submitted, Quiz_Reviewed","-5.586, -4.087, -3.024, 1.821, -1.628"
1d204958ce9b62182ae22158bddf8c5d89da2dac3ad3d47dc0c54de6f0b8f626,77.24206,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Files_Uploaded, Quiz_Viewed","5.983, 2.021, -1.933, 1.549, -0.767"
95ee9dd525388d6a5ac5b72d75db32f0d4544ef31944914e6e63f6e999ccc746,91.66668,"Session_Start_Hour_STD, Files_Downloaded, Module_Views, Session_Interval_CV, Files_Uploaded","3.438, 2.788, -2.220, -1.509, -1.321"
b1e320e269f4962876292fab4a85424aede6028f31d06b4ea8aa288701ddcccf,83.33335,"Files_Uploaded, Avg_Time_Per_Session, Quiz_Reviewed, Module_Views, Session_Interval_CV","-2.111, -1.694, 1.623, -1.297, 1.260"
8ebb1c870d018aa064d373dae4d701ba782edf93dee1308f7883367fdde28652,88.8889,"Quiz_Submitted, Quiz_Reviewed, Assignments_Submitted, Files_Uploaded, Content_Views","-10.172, -6.865, 2.518, 2.319, -1.768"
5f295babfd75c89ca7e24a2703bf51be459d1feb6ea939b8d1949fbf50a163c6,94.26902,"Quiz_Submitted, Content_Views, Files_Uploaded, Quiz_Reviewed, Quiz_Started","7.140, -4.253, -2.709, 2.415, -2.054"
b3aa142b6ea8f1ae2d5d94469ff914d47a3e32eef8c93565a36f9bb9414191a2,53.35108,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Files_Uploaded, Quiz_Viewed","5.909, 2.350, -2.017, -1.391, -1.126"
2b48c3c61b747021de449d323a29813fa182e6b7ba0a5d428069b9b0356d775b,91.66667,"Files_Uploaded, Quiz_Submitted, Quiz_Started, Content_Views, Messages_Sent","4.413, 3.303, -1.452, -1.267, 0.719"
3319caf5b55c0c00b2faa49e4bbdabaa33a853c328518ddeb1280e4a4d970433,66.6667,"Quiz_Submitted, Quiz_Reviewed, Files_Downloaded, Files_Uploaded, Assignments_Submitted","-5.804, -3.814, -1.388, 1.387, 1.213"
cd63eb25c3ebc26febe36bfa6a7e0599febbdfe3b9e3e22018562b6cf79778af,91.66667,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Files_Uploaded, Messages_Sent","6.317, 2.341, -2.070, 1.676, 1.178"
5941f9a7f5979bcb289826c17615ce82403683857a441cc355a4587f414781c5,83.33333,"Quiz_Submitted, Files_Downloaded, Quiz_Reviewed, Files_Uploaded, Quiz_Started","6.646, -2.715, 2.660, 2.242, -1.790"
b4fafdca76e4684904eceadc8eff43ca690cd2d697dbc584dd69bb1b2fdba540,66.6667,"Quiz_Reviewed, Quiz_Submitted, Messages_Sent, Files_Uploaded, Assignments_Submitted","-7.285, -5.415, -1.328, -1.042, -0.798"
0b2910923aeb47959fbc9ceb9d30dbc1ee0be85ab0b79c98472984208cb5d75e,91.25,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Files_Uploaded, Quiz_Viewed","5.579, 2.027, -1.721, 1.640, -1.157"
31f39663a32ca61972310238200c9183a4862590e90527ab442f9ebda6fec2dc,100.0,"Files_Uploaded, Quiz_Reviewed, Quiz_Submitted, Quiz_Started, Quiz_Viewed","4.218, 2.260, 2.001, -1.629, -1.294"
09b1fd283fa3a62ec6f4029266100349076fcc9bc2db7844cd68be78e79ff194,75.0,"Quiz_Submitted, Quiz_Reviewed, Files_Uploaded, Quiz_Started, Messages_Sent","5.188, 2.165, 2.082, -1.983, 0.690"
ef277d0b70d2b68e0b1efcffa099383b31810df2d6ba43c0b9094a06c78ee65e,100.0,"Quiz_Submitted, Quiz_Started, Quiz_Reviewed, Files_Uploaded, Meeting_Joined","7.251, -2.205, 2.144, -1.201, 0.654"
47ad395742f1721a926a04ed3765aa589139660d53c66e9258d0642d3fd3e4db,100.0,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Quiz_Viewed, Files_Uploaded","7.003, 2.115, -1.800, 1.738, -1.420"
8ecef62feeb04ff1a814ca9e984428b592281a3c754c4f9615ac3817f1ad9bf5,83.33333,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Session_Start_Hour_STD, Files_Uploaded","4.675, 2.261, -1.857, 1.174, -1.152"
184be4d58f9dd626e76e6d3ed22a46ed5d691538bc610af33b507d0057310fa1,91.66667,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Content_Views, Files_Uploaded","7.598, 2.845, -1.883, -1.598, -1.482"
bdc20f4bfbc60bd9ca2334d0453d83192d543b466d270ac9183298a5d1d3f3ef,40.0,"Quiz_Reviewed, Quiz_Submitted, Quiz_Viewed, Module_Views, Forum_Views","-26.010, -7.717, 2.641, 1.278, -1.080"
bdb9f166d8bbae0f06cec93ba10af4cec40bf5bd375f78fbca2574b13acbe001,77.7778,"Quiz_Submitted, Quiz_Started, Quiz_Viewed, Session_Interval_CV, Messages_Sent","-10.037, -1.758, -1.369, -1.048, -0.971"
b567752be6d7033ce0788c1004654c1680a2d6a5a1663a00edcebb7a32b4b717,77.7381,"Files_Uploaded, Quiz_Reviewed, Session_Start_Hour_STD, Module_Views, Quiz_Viewed","-2.991, -2.063, -1.969, -1.585, -1.279"
07cc5e37fca482ac245be193081abd021deed2557039afe9728494e0076367fb,91.66667,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Files_Uploaded, Meeting_Joined","6.186, 2.251, -2.126, 1.998, 0.992"
aa8c36e19893007fdb3b4072263ad953214a48e788b86017ddf6b2a2b7c18006,100.0,"Quiz_Submitted, Quiz_Viewed, Quiz_Reviewed, Quiz_Started, Module_Views","5.696, 2.556, 1.749, -1.531, -1.431"
e616f930c36fbe32855487b49bbee7f74fdb63affad62d2378c54c187498ae5d,89.64912,"Quiz_Submitted, Quiz_Started, Quiz_Reviewed, Messages_Sent, Files_Uploaded","5.436, -1.862, 1.761, -1.722, 1.405"
4ffcfb68c538557b2071d557b8c6005b40fa7e38185d0bf2982f39dd6f245498,80.55557,"Quiz_Submitted, Quiz_Reviewed, Content_Views, Quiz_Started, Files_Uploaded","6.829, 2.510, -2.278, -2.221, 1.886"
e3e485cd927653cb428c42269aae6e7b652a6e46d459308668f546e461e14f7a,87.5,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Files_Uploaded, Content_Views","6.597, 2.844, -1.987, -1.218, -0.847"
6e3a9e9ac4a6e00f2cd3c4b4ea34d8edcba311522d6440c2790f0fa3354c22ca,85.7143,"Quiz_Submitted, Files_Uploaded, Quiz_Reviewed, Quiz_Started, Content_Views","6.039, 2.059, 1.818, -1.706, -1.098"
ac6f58f26d4f818fc9f2b6c7afaf26365feca9f66046eb86c436914c8907d928,100.0,"Quiz_Submitted, Files_Uploaded, Quiz_Viewed, Quiz_Started, Files_Downloaded","3.104, 2.931, -1.617, -1.205, 0.855"
0cbf4b67a51882f4da86e388246fd2579b52026b5357d85e611d6df587be448c,100.0,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Files_Uploaded, Messages_Sent","7.571, 2.799, -2.270, -1.352, 0.882"
e92045e40bc86671a10082c83b7bafa473ff2b7b1aa57a45b1f68a270cccb5b0,37.037,"Quiz_Reviewed, Quiz_Submitted, Module_Views, Quiz_Started, Files_Uploaded","-13.776, -8.037, -2.803, -2.340, 1.341"
8656736481f1011f6bde782206d7ddd3b918483640bf47c4740eb78e095b1374,100.0,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Files_Uploaded, Meeting_Joined","6.805, 2.296, -2.268, 1.716, 1.069"
a0ecb73c08e6929c97898e50900e8f49ff21026c733365d07972bea6a4f70068,5.55555,"Quiz_Reviewed, Quiz_Submitted, Quiz_Viewed, Quiz_Started, Session_Interval_CV","-26.767, -13.690, 3.477, -2.335, -1.846"
95bfe11e724719d3bee847cf10abf873054c611678d76c311c7a673a74ca3aab,77.7778,"Quiz_Submitted, Meeting_Joined, Files_Uploaded, Module_Views, Session_Interval_CV","-4.150, -1.455, 0.759, 0.616, -0.555"
ac6f58f26d4f818fc9f2b6c7afaf26365feca9f66046eb86c436914c8907d928,91.66667,"Quiz_Submitted, Quiz_Reviewed, Files_Uploaded, Quiz_Started, Messages_Sent","6.354, 2.323, 2.199, -1.974, -0.980"
3ab96118a12bf82103ca8e14f961a496cf2eb0b8f44964ecf3b734eed2a501c1,50.0,"Session_Start_Hour_STD, Quiz_Submitted, Quiz_Reviewed, Total_Clicks, Assignments_Submitted","-14.665, -12.137, -8.719, -4.343, -2.354"
6e382b6d8a2c0fba2e4819f4f7846b55fb20777f7f21b4c6a00ac9ae2f953433,91.66667,"Quiz_Submitted, Session_Interval_CV, Quiz_Started, Quiz_Reviewed, Avg_Time_Per_Session","7.735, -2.694, -2.348, 2.338, -1.072"
1a9f735eeb0fc962529d606e416747623f3d061798559abb5d2d847d30a2577e,59.65053,"Quiz_Submitted, Quiz_Started, Quiz_Reviewed, Files_Downloaded, Module_Views","6.487, -1.851, 1.843, -1.497, 1.460"
